TIPO DE PLANTA;¿Esta rota la hoja de la planta?;Milímetros Acumulado desde siembra;Coloración Hoja;Estación;Forma Lesión;¿Esta enferma?
ARROZ;0;283;Verde;Invierno;Longitudinal;0
MAIZ;1;5;Rojiza;Verano;Circular;1
MAIZ;0;125;Amarronada;Otoño;Circular;1
MAIZ;1;167;Amarronada;Primavera;Ovalado;1
ARROZ;0;250;Rojiza;Otoño;Longitudinal;0
MAIZ;1;66;Amarilla;Otoño;Ovalado;1
ARROZ;0;135;Rojiza;Invierno;Circular;1
ARROZ;1;176;Amarronada;Otoño;Circular;0
ARROZ;0;65;Amarronada;Primavera;Longitudinal;0
MAIZ;0;47;Rojiza;Primavera;Circular;0
ARROZ;0;4;Amarilla;Invierno;Longitudinal;0
ARROZ;0;283;Amarilla;Invierno;Circular;0
ARROZ;0;134;Verde;Invierno;Ovalado;0
MAIZ;1;204;Rojiza;Otoño;Ovalado;0
ARROZ;0;119;Rojiza;Invierno;Longitudinal;0
MAIZ;0;15;Verde;Primavera;Ovalado;1
MAIZ;0;56;Rojiza;Otoño;Circular;0
ARROZ;0;196;Rojiza;Verano;Circular;0
ARROZ;1;171;Verde;Otoño;Circular;0
MAIZ;1;275;Rojiza;Otoño;Ovalado;1
MAIZ;1;44;Rojiza;Verano;Circular;0
MAIZ;0;79;Verde;Verano;Circular;1
ARROZ;1;262;Verde;Otoño;Circular;1
ARROZ;0;72;Rojiza;Verano;Circular;0
MAIZ;0;79;Verde;Primavera;Ovalado;1
MAIZ;1;200;Amarilla;Primavera;Ovalado;0
ARROZ;1;255;Amarronada;Invierno;Ovalado;0
ARROZ;0;156;Verde;Primavera;Longitudinal;1
ARROZ;0;244;Verde;Primavera;Ovalado;0
ARROZ;0;3;Amarilla;Invierno;Ovalado;0
ARROZ;0;48;Amarronada;Otoño;Ovalado;1
ARROZ;0;21;Rojiza;Otoño;Circular;0
ARROZ;0;284;Verde;Verano;Ovalado;0
ARROZ;0;114;Rojiza;Verano;Circular;0
ARROZ;1;140;Amarronada;Invierno;Longitudinal;0
ARROZ;0;146;Amarilla;Verano;Longitudinal;0
ARROZ;0;43;Verde;Otoño;Circular;0
MAIZ;1;3;Amarronada;Otoño;Circular;1
ARROZ;0;93;Rojiza;Invierno;Longitudinal;1
MAIZ;1;58;Verde;Otoño;Longitudinal;0
ARROZ;1;282;Amarilla;Otoño;Longitudinal;0
ARROZ;1;289;Rojiza;Verano;Longitudinal;1
ARROZ;1;269;Amarronada;Invierno;Circular;1
MAIZ;0;193;Amarronada;Verano;Longitudinal;0
MAIZ;1;18;Rojiza;Invierno;Circular;1
MAIZ;1;142;Amarronada;Primavera;Circular;0
MAIZ;1;208;Verde;Invierno;Longitudinal;1
MAIZ;1;29;Rojiza;Verano;Ovalado;1
MAIZ;0;260;Rojiza;Invierno;Circular;0
ARROZ;1;152;Amarronada;Primavera;Ovalado;0
ARROZ;0;93;Amarronada;Otoño;Circular;1
MAIZ;0;82;Amarronada;Otoño;Circular;1
MAIZ;1;136;Rojiza;Otoño;Circular;1
MAIZ;1;57;Rojiza;Otoño;Longitudinal;1
MAIZ;0;19;Rojiza;Otoño;Circular;0
MAIZ;1;214;Amarronada;Invierno;Longitudinal;1
MAIZ;1;134;Amarronada;Otoño;Ovalado;0
MAIZ;0;175;Amarilla;Invierno;Ovalado;0
MAIZ;1;283;Amarilla;Invierno;Ovalado;0
MAIZ;0;118;Rojiza;Primavera;Longitudinal;1
MAIZ;0;238;Rojiza;Verano;Circular;0
MAIZ;0;191;Rojiza;Otoño;Longitudinal;1
ARROZ;0;127;Amarilla;Verano;Ovalado;0
MAIZ;1;40;Verde;Verano;Longitudinal;1
MAIZ;1;69;Rojiza;Invierno;Longitudinal;1
ARROZ;0;79;Amarronada;Primavera;Circular;0
ARROZ;0;248;Rojiza;Otoño;Ovalado;0
MAIZ;0;33;Amarronada;Invierno;Ovalado;1
MAIZ;0;107;Verde;Primavera;Circular;1
ARROZ;0;70;Amarronada;Otoño;Ovalado;0
MAIZ;1;66;Rojiza;Verano;Ovalado;0
ARROZ;0;82;Amarronada;Verano;Longitudinal;1
MAIZ;0;87;Amarronada;Invierno;Longitudinal;0
MAIZ;0;254;Rojiza;Verano;Ovalado;1
MAIZ;0;54;Verde;Invierno;Ovalado;0
ARROZ;0;170;Rojiza;Otoño;Ovalado;1
MAIZ;0;7;Amarilla;Primavera;Longitudinal;0
MAIZ;0;180;Rojiza;Primavera;Longitudinal;0
ARROZ;1;218;Amarilla;Verano;Longitudinal;1
ARROZ;0;151;Amarronada;Otoño;Longitudinal;0
ARROZ;1;135;Amarronada;Primavera;Circular;0
MAIZ;1;169;Amarronada;Otoño;Longitudinal;0
MAIZ;1;236;Verde;Primavera;Circular;1
ARROZ;0;48;Amarronada;Otoño;Longitudinal;0
ARROZ;0;275;Amarronada;Verano;Circular;0
ARROZ;1;204;Rojiza;Primavera;Ovalado;0
MAIZ;1;181;Verde;Verano;Circular;1
MAIZ;0;204;Verde;Invierno;Longitudinal;1
ARROZ;1;281;Verde;Primavera;Ovalado;0
ARROZ;0;12;Amarilla;Verano;Longitudinal;1
ARROZ;1;20;Amarronada;Primavera;Longitudinal;0
MAIZ;1;299;Amarilla;Otoño;Circular;1
MAIZ;1;95;Amarilla;Invierno;Longitudinal;0
ARROZ;1;53;Verde;Invierno;Ovalado;1
MAIZ;1;0;Verde;Verano;Ovalado;0
ARROZ;0;22;Rojiza;Otoño;Ovalado;1
MAIZ;0;161;Verde;Verano;Longitudinal;1
ARROZ;1;82;Amarilla;Verano;Circular;0
ARROZ;0;244;Amarilla;Invierno;Ovalado;1
MAIZ;1;224;Rojiza;Invierno;Ovalado;1
ARROZ;0;208;Verde;Primavera;Circular;1
MAIZ;0;209;Rojiza;Otoño;Longitudinal;0
MAIZ;1;202;Amarronada;Verano;Circular;0
ARROZ;1;22;Verde;Invierno;Ovalado;1
MAIZ;0;207;Verde;Verano;Ovalado;0
MAIZ;1;115;Amarronada;Primavera;Ovalado;1
MAIZ;0;203;Verde;Invierno;Longitudinal;0
MAIZ;1;139;Verde;Otoño;Ovalado;0
ARROZ;0;212;Rojiza;Invierno;Ovalado;1
MAIZ;0;121;Amarilla;Invierno;Longitudinal;1
MAIZ;1;292;Amarilla;Verano;Longitudinal;0
MAIZ;0;216;Verde;Invierno;Longitudinal;1
MAIZ;1;6;Amarronada;Verano;Longitudinal;0
ARROZ;0;140;Amarilla;Verano;Ovalado;1
MAIZ;1;277;Amarronada;Otoño;Circular;1
MAIZ;0;283;Amarilla;Verano;Longitudinal;1
MAIZ;0;164;Amarronada;Verano;Ovalado;0
ARROZ;1;72;Amarronada;Primavera;Circular;0
MAIZ;1;230;Rojiza;Primavera;Longitudinal;0
MAIZ;0;125;Verde;Primavera;Ovalado;0
MAIZ;1;89;Amarilla;Primavera;Longitudinal;1
ARROZ;1;60;Verde;Otoño;Ovalado;0
ARROZ;0;22;Rojiza;Verano;Ovalado;0
MAIZ;1;199;Amarronada;Invierno;Circular;1
ARROZ;1;300;Amarilla;Otoño;Longitudinal;0
MAIZ;0;278;Amarronada;Verano;Ovalado;1
MAIZ;0;165;Verde;Verano;Longitudinal;1
MAIZ;1;122;Rojiza;Primavera;Longitudinal;0
MAIZ;1;249;Amarronada;Primavera;Ovalado;0
MAIZ;1;45;Amarronada;Otoño;Circular;0
ARROZ;0;111;Amarronada;Invierno;Circular;0
MAIZ;0;152;Amarilla;Invierno;Ovalado;1
MAIZ;0;8;Amarronada;Invierno;Ovalado;1
MAIZ;0;88;Rojiza;Otoño;Circular;1
ARROZ;1;88;Amarronada;Invierno;Longitudinal;0
MAIZ;1;252;Amarronada;Primavera;Longitudinal;1
ARROZ;0;218;Amarronada;Invierno;Longitudinal;1
MAIZ;0;251;Verde;Otoño;Ovalado;1
ARROZ;1;73;Amarilla;Verano;Ovalado;1
MAIZ;1;206;Amarronada;Primavera;Longitudinal;1
ARROZ;1;262;Verde;Otoño;Longitudinal;1
MAIZ;0;221;Amarilla;Otoño;Longitudinal;1
MAIZ;1;273;Verde;Otoño;Circular;0
ARROZ;0;144;Verde;Otoño;Circular;1
ARROZ;0;185;Verde;Verano;Ovalado;1
MAIZ;1;4;Amarilla;Primavera;Ovalado;1
MAIZ;1;70;Verde;Otoño;Circular;0
ARROZ;0;178;Amarilla;Invierno;Ovalado;0
ARROZ;0;250;Amarilla;Verano;Circular;1
ARROZ;0;220;Rojiza;Primavera;Longitudinal;1
ARROZ;1;81;Amarronada;Invierno;Longitudinal;1
MAIZ;0;140;Rojiza;Primavera;Ovalado;0
ARROZ;0;202;Amarilla;Invierno;Longitudinal;0
MAIZ;0;248;Amarilla;Otoño;Ovalado;0
ARROZ;1;297;Amarilla;Invierno;Ovalado;0
ARROZ;1;173;Amarronada;Verano;Longitudinal;0
ARROZ;1;97;Verde;Otoño;Longitudinal;1
MAIZ;0;239;Rojiza;Primavera;Circular;1
ARROZ;0;52;Amarronada;Primavera;Longitudinal;0
MAIZ;1;184;Amarilla;Primavera;Longitudinal;1
ARROZ;0;22;Rojiza;Verano;Longitudinal;1
ARROZ;0;191;Verde;Verano;Longitudinal;1
ARROZ;1;91;Rojiza;Verano;Ovalado;0
ARROZ;1;227;Verde;Verano;Ovalado;0
MAIZ;1;256;Rojiza;Verano;Longitudinal;0
MAIZ;0;91;Rojiza;Invierno;Circular;1
